Date,AAP,AAPL,MMM
2019-01-03,162.85,142.19,183.76
2019-01-04,158.81,148.26,191.32
2019-01-07,161.14,147.93,190.88
2019-01-08,160.02,150.75,191.68
2019-01-09,164.43,153.31,192.3
2019-01-10,165.07,153.8,193.6
2019-01-11,159.42,152.29,192.21
2019-01-14,158.72,150.0,192.17
2019-01-15,160.28,153.07,188.94
2019-01-16,162.44,154.94,189.48
2019-01-17,166.28,155.86,191.71
2019-01-18,167.61,156.82,195.86
2019-01-22,164.13,153.3,192.26
2019-01-23,164.33,153.92,192.29
2019-01-24,156.31,152.7,192.52
2019-01-25,153.22,157.76,195.9
2019-01-28,154.86,156.3,193.2
2019-01-29,155.39,154.68,196.95
2019-01-30,159.04,165.25,199.27
2019-01-31,159.2,166.44,200.3
